女臣	姫姬
亼口人刂	剣劍
阝爪彐心	隠隱
禾爪彐心	穏穩
艹千二火	薫薰
行山王攵	徴徵
田匕匕	毘毗
一中甘衤	嚢囊
几木	凩朵
木且	査柤
士冖几殳	殻殼
木示	柰标
木廿由八	横橫
木戈	桟栈𣏾
乂木弋工	弑弒
文川刂	剤剂
行鳥	鵆鸻
氵文川	済济
阝𠂇月土	堕墮
户	戸戶户
亞	亜亞亚
亞心	悪惡恶
口亞	唖啞哑
齒	歯齒齿
齒亼龴	齢齡龄
口齒	噛嚙啮
言丿屮	訰𧦖
言八口儿	説說说
門八口儿	閲閱阅
禾八口儿	税稅
月八口儿	脱脫
金八口儿	鋭銳锐
心八口儿	悦悅
婁攵	数數
木婁	楼樓
亻目𠔀	倶俱
