人	人入
絲大丁口	绮綺
絲大日小	缭繚
絲犬㇕	绂紱
絲大厶	纮紘
絲戈大	绒絨
車絲絲口	辔轡
絲口口木	缲繰
絲之一㠯	缱繾
絲申	绅紳
絲日匕匕	绲緄
絲田心	缌緦
絲四口𧘇	缳繯
絲目小丿	缈緲
絲四灬土	𬙊纆
絲千二灬	𫄸纁
女爪大又	媛嫒
絲廴丿止	𫄧綖
女又馬	驽駑
絲𠂉乙	纥紇
絲之丿㠯	缒縋
絲亻㇕矢	缑緱
絲乂大巾	𫄨絺
絲八人口	绤綌
絲爪冖又	绶綬
絲勹十凵	绹綯
絲夂㐄	绛絳
絲匕匕	纰紕
絲衣口甘	𬙋纕
絲亠冂口	缟縞
絲亠口子	𬘯綧
絲衣日	缞縗
絲立日心	𫄷繶
絲亠冂厶	缡縭
絲亠八乂	绞絞
絲亠冖巾	缔締
絲䒑八皿	缢縊
絲䒑刂八	缣縑
絲半卩	绻綣
絲丷弓亻	绨綈
絲宀由八	𬙂縯
絲冖儿	𬘘紞
絲又又又	缀綴
絲巳七日	缗緡
絲廴丿士	𬘩綎
絲习人彡	缪繆
絲巛田	缁緇
絲屮凵	绌絀
木刂⺮見	榄𬄦
絲口八	织𥿗
木馬	杩榪
口弓丨	吲𠰀
雨氵丿士	霪䨙
魚人二厶	鲙𩷆
口口一戈	戰𡃹
艹廿冖巾	蔕𦷾
艹魚禾大	𡚡𫰅
亻大一丂	侉𪝄
魚由	鲉鮋
絲三田田	缰繮
牛口	告吿
金尸目	镅鎇
艹丨米女	𡳶𬟗𬞰
日者	暑暏
氵宀皿丁	濘𬈿
厂車	厍厙
土川八見	𧹦䚂
日一寸	旴㝵
絲米女	缕𫃵
八刀又貝	𪬼𫎤
小冂口	尚尙
巴土八夂	𱜞𪩮
木門一艹	𬂻𣛣
扌宀皿丁	擰𢴕
氵廿冖巾	滯𣻉
羊大乚木	𫅠𬙾
匕匕	比𫧇
月門寸丿	𫆝𦟼
扌丸	执𢩾
山鬼	嵬㟴
口巾	吊𫩒
艮七儿木	槩㮣
𠂊小田土	𨤰𫒂
𠂉小田土	𨤰𫒂
口口一丂	咢㗁
鳥艹隹又	鹱鸌
金月穴工	𨭒𨭏
土尹口羊	𡑳𡑱
口艹夂口	𠺴𡀩
土厶衤甫	𠬖𠬕
木小口儿	𣘽𣗋
子瓜鳥	𪂮𪂲
扌魚日	撸擼
口門木四	𪢌㘓
艹四冖又	蘉𦴋
矢一䒑艮	𥐇𬑶
氵艹冖巾	滞𤀐
亻户小丿	𪝹𫣪
扌日	抇𢪏
木豕	椓㭬
四土丶㇕	黔𪑑
厶人一卜	𠀳𫠪
口禾彐心	𡅯𪢖
习习立申	𫅮𫅲
金口王	锃鋥
絲亠口小	𫟅綡
車卜尸	轳𨋤
人一一卜	𠁄𣍋
扌宀小貝	擯𢺔
小門寸丿	𡭬𡮣𡮥
車田夂口	𨎟𫏾
王艹心	𢚸𪫵
羊大日一	𦏄𫅝
艹人口刂	剳𦼃
木木工㇕	𬃂𬂽
王亠冖巾	𤧛𪼀
人水	汆氽
几二月刂	𩙌𬲂
山𠂉乙	屹𪨣
口耳戈	戢𠺵
扌日甘𧘇	𢺖𱠻
長彡丘八	鬓鬂
艹宀皿丁	薴𬞊
户廿八	𢩉𫼌
艹木口	莕𫇿
士冖殳心	慤愨
扌匕匕	批𢪲
王艹十又	𪔠𲎚
田木𠂊貝	𣡙𣡚
田木刀貝	𣡙𣡚
日卜尸	𣆐𬀭
口艹木四	𪢠囒
日豕者	𣌁𣌂
門月	𫔮閒
山兀	屼𡵉
日一丂	𣅙𣅘
金廿由八	𨱑鐄
扌业羊寸	𣝉𢷮
口艹口䒑	𠻼𡃻
𠂉木冂艹	𣘈𣜱𪳔
人一口貝	𡃋𫭕
食戈	饯𩚧
爪	爪𫜵
几二之艮	𫗂𫗁
四厶匕匕	罷𠤩
火日甘𧘇	𪹷𬋟
口一夕刂	咧𡂲
一木圍目	𬰠𩈘
亦鳥	鸾鵉𪁂
日广卜口	𣈔𣈘
山日冂厶	嵎𡺥
艹虎一丂	𧃷𬞲
一夕丿皿	殈𬠼
禾厶卜貝	𥢅𥢆
長彡人人	鬗𩯮
月日甘𧘇	𣎦𦣙
土巳	圯𡉏
貝刂寸	𫴯𡬷
亠乂一八	𫥪𫥮
金廿八	𫟹鉷
氵魚日	澛瀂
䒑彐䒑业	𫡁𫡂
門小	𡭜𡮉𨳒
几二刂心	𫗄𫗃
門文工	𫔳𫔤
户氏	𬇋𣱆
足艹人人	蹒𨅼
尸毛田凵	𡳒𤳰
尸毛由凵	𡳒𤳰
𠂊用八夂	𧤁𧤸
尸丶者阝	𡳤𡳢
女厶四貝	𡤓𪦲
厶口亻弋	𠳙𫢼
亻木一見	𧡊𫌠
片心	𬌔𬌓
扌丿尸丶	𡱩𢭑
火火冖力	勞𤏪
人王冂艹	𠓹𠓻𫤍
魚卜尸	鲈𫙔
夕卜人土	𡎥𫮋
山亠口小	𡹞𡹡
口王	呈㕵
扌人人人	撿𪭮
亻八之艮	𠑉𫤈
火門亠巾	𬊢𤐛
門寸丿小	𡮤𫴼
一止冂口	𣦎𬆈
艹門木四	𬞕蘭
几言十	𧦔𪞴
人人夕卜	𡎢𡎦
口土卩又	𠼶𠾷
口口耳攵	嚴㘙
風之艮	𩘬𩘩
門一艹	𫔭開
土川者見	𬦄𧺃
金魚日	镥鑥
金尸㇆口	锔鋦
户习㇕大	𦑗𬚇
矢一口䒑	短𥐍
丿皿丿卩	𧖰𧖱
木艹木四	𬅉欗
日行人禾	𣉹𬁊
日犭者	𬁑𪱂
口皿	𠰘𠱄
木口欠	欶𣒱
小門心	𡮮𡮬
匚㇕𠂊貝	𢀲𱜝
匚㇕刀貝	𢀲𱜝
卜口刀	𠛤𪟂
刀鳥	鳭𠟀
犭宀皿丁	獰𤡛
田土火火	𨤮𨤵
木艹⺮皿	𣞎𣠩
日十十月	𣋂𣊿
氵口貝	涢溳
人一几二	𫖾𬲇
一巾	巿帀
日牛巾刂	𪰮㫼
木十日一	𬃱𬄮
氵風	沨渢
風	风風
山風	岚嵐
立風	飒颯
月儿氵	朓脁
車一人人	辆輛
亻一人人	俩倆
日	日曰
户	户戶戸
士冖亞	壸壺壼
穴夫見	窥窺
扌夫夫車	撵攆
金夫	𫓧鈇
亞	亚亞亜
亞心	恶惡悪
口亞	哑啞唖
艹咼	莴萵
虫咼	蜗蝸
金咼	锅鍋
氵咼	涡渦
示咼	祸禍
女咼	娲媧
土咼	埚堝
咼	呙咼
穴咼	窝窩
申	电申
⺮衣日	簑簔
衣亻口木	褒襃
金口口	铝鋁
口口口	品𠴊
口口巴	唈𫶷
亞土	垩堊
女亞	娅婭
示一口田	福福
示申	神神
示羊	祥祥
木亞	桠椏
口亞心	𫫇噁
气亞	氩氬
一夕非一	殲殱
亻㇕圍目	偭𫖄
爲	为爲為
艹爲	𫇭蔿蒍
亻爲	伪僞偽
氵爲	沩潙溈
女爲	妫媯
扌爲	㧑撝
舟皿八夂	𥃑𪾝
