人	人入
⺮龍	笼籠
牛口鳥	鹄鵠
⺮見	笕筧
禾几頁	颓頽
牛儿儿貝	赞贊
⺮門日	简簡
⺮馬	笃篤
亻長	伥倀
亻丰貝	债債
亻十艹貝	偾僨
亻木鳥	鸺鵂
亻弋貝	贷貸
臼車八	舆輿
亻卜貝	侦偵
亻貝刂	侧側
亻見	伣俔
亻丿士貝	赁賃
亻匕頁	倾傾
亻匕貝	货貨
亻言者	储儲
隹灬鳥	鹪鷦
人一口龍	龛龕
食耳	饵餌
食艹日大	馍饃
食十冖子	饽餑
乂木弋工	弑弒
食一屮	饨飩
行金	衔銜
食中一貝	馈饋
食日匕匕	馄餛
食丿士	饪飪
食丿大	饫飫
食手戈	饿餓
食𠂉巾	饰飾
食𠂉力	饬飭
食自口	饷餉
食臼丨又	馊餿
食斤又	饭飯
食爪女	馁餒
食几	饥飢
食𠂊臼	馅餡
食欠	饮飲
食氏刀田	馏餾
食勹巳	饱飽
人丶口頁	颔頷
人丶㇕貝	贪貪
食䒑艹	饼餅
食羊彐丨	馐饈
食宀㠯	馆館
食虫	蚀蝕
食㇆一口	饲飼
八刀頁	颁頒
八刀貝	贫貧
八厶頁	颂頌
食厶口	饴飴
金一艹	钘鈃
金丁	钉釘
金者丂	铐銬
金者	锗鍺
金者匕	铑銠
金丰寸	铸鋳
金耳	铒鉺
金丰月	锖錆
金王丶	钰鈺
金甘	钳鉗
金十	针針
金十口	钴鈷
金廿日	错錯
金艹隹又	镬鑊
金木一	钵鉢
金甫	铺鋪
金雨田	镭鐳
金木丶	𬬸鉥
金大十艹	锛錛
金大月	铕銪
金大丶	钛鈦
金大日小	镣鐐
金犬㇕	钹鈸
金至	铚銍
金弋	𬬩釴
金戊㇆	铖鋮
金弋心	铽鋱
金之車	链鏈
金匚㇕	钜鉅
金戈乚	钺鉞
金卜	钋釙
金圍大	铟銦
金圍十口	锢錮
金口月	𫓶鋗
金日一	钽鉭
金田土	锂鋰
金刂	钊釗
金田木	锞錁
金田	钿鈿
金小貝	锁鎖
金小丿	钞鈔
金小月	销銷
金业羊	镤鏷
金小口土	镗鏜
金冂一口	铜銅
金冂人	钠鈉
金貝	钡鋇
金目	钼鉬
金且力	锄鋤
金牛口	锆鋯
金千日二	锺鍾
金千臼	锸鍤
金牛儿	铣銑
金禾火	锹鍬
金禾㇆丿	锈銹
金亻三殳	锻鍛
金白王	锽鍠
金川	钏釧
金自木	镍鎳
金隹	锥錐
金白	铂鉑
金白巾	锦錦
金人王	铨銓
金斤	𬬱釿
金人人土	锉銼
金人丶㇕	钤鈐
金人之	铃鈴
金爪大又	锾鍰
金彡	钐釤
金斤又	钣鈑
金凡	钒釩
金几口	铅鉛
金夂丰	锋鋒
金夕口	铭銘
金氏丿卩	铆鉚
金欠	钦欽
金勹丶	钓釣
金勹冫	钧鈞
金勹厶	钩鈎
金辛	锌鋅
金立日儿	镜鏡
金亠巾	铈鈰
金衣	铱銥
金亠冖方	镑鎊
金丶艮	锒鋃
金方	钫鈁
金广廿又	镀鍍
金門木四	镧鑭
金門	钔鍆
金广刂八	镰鐮
金羊大	镁鎂
金丷口儿	锐鋭
金䒑业日	镨鐠
金火	钬鈥
金火火	锬錟
金丷弓亻	锑銻
金儿氵	铫銚
金宀一止	锭錠
金心丿	铋鉍
金尸十口	锯鋸
金皮	铍鈹
金艮	银銀
金尸匕	铌鈮
金又丶	钗釵
金刀口	𬬿鉊
金子皿	锰錳
金弓川貝	镄鐨
金了	钌釕
金廴尹二	键鍵
金女口	铷銣
