人	人入
言七儿日	譖谮
言戊㇆	誠诚
言匚㇕	詎讵
言卜	訃讣
言虎匚	謔谑
言口一大	誤误
亠圍一頁	顫颤
亡口貝凡	贏赢
言非	誹诽
言田木	課课
言日四又	謾谩
言田八夂	謖谡
言小月	誚诮
言田月	謂谓
言且	詛诅
言冂口	詗诇
言冂一口	詷𫍣
言山	訕讪
言冂人	訥讷
言𠂉十	許许
言舌	話话
言牛口	誥诰
言𠂉木	誅诛
立丿彡頁	顔颜
言禾㇆丿	誘诱
言𠂉母	誨诲
言川	訓训
言隹	誰谁
文川刂	剤剂
言隹灬	譙谯
言人月刂	諭谕
言人王	詮诠
言人非一	讖谶
言人彡	診诊
言斤一口	詬诟
言斤	訢䜣
言爪牛山	謡谣
言犭王	誑诳
亠几頁	頏颃
言風	諷讽
言𠂊厂卩	詭诡
言勹日	詢询
言匕日	詣诣
言𠂊臼	諂谄
言匕匕白	諧谐
言氏丶	詆诋
言𠂊尹	諍诤
言亠口小	諒谅
言立日	諳谙
言立丿彡	諺谚
辛言辛	辯辩
言亠冖巾	諦谛
言亠冖方	謗谤
言方	訪访
文門木四	斕斓
言羊	詳详
言䒑八皿	謚谥
言火火	談谈
言之米	謎谜
言䒑刂八	謙谦
言冖車	諢诨
言之一㠯	譴谴
言宀且	誼谊
言宀丿七	詫诧
言㇕大	訣诀
言皮	詖诐
言又用	誦诵
言㇆一口	詞词
言乙十	訊讯
言刀口	詔诏
言廴丿止	誕诞
言刀丶	訒讱
言己	記记
言厶口	詒诒
亠乡人頁	頦颏
辛絲辛	辮辫
門土土	閨闺
門三	閆闫
冫馬	馮冯
疒木𠂊貝	癩癞
門木四	闌阑
广車	庫库
門大申	閹阉
广龍	龐庞
門戈口一	閾阈
門圍木	閫阃
門甲	閘闸
門日日	閶阊
門一	閂闩
門王	閏闰
門木	閑闲
門虫	閩闽
門言	誾訚
門馬	闖闯
門亻戈	閥阀
門人	閃闪
門爪冖又	閿阌
疒風	瘋疯
冫欠貝	資资
門𠂊臼	閻阎
疒魚羊	癬癣
門亠几	閌闶
門亠乡人	閡阂
門丷口儿	閲阅
門氵舌	闊阔
門心	悶闷
門癶一大	闋阕
門㇕耳攵	闞阚
疒阝彐心	癮瘾
忄長	悵怅
羊魚	鯗鲝
忄十艹貝	憤愤
忄木𠂊貝	懶懒
米女	娄籹
火頁	煩烦
忄車斤	慚惭
忄門文	憫悯
火門心	燜焖
忄冖車	惲恽
丷弓亻鳥	鵜鹈
忄母貝	慣惯
氵工鳥	鴻鸿
氵丰貝	漬渍
氵龍	瀧泷
氵車斤	漸渐
氵之車	漣涟
氵卜貝	湞浈
氵貝	浿𬇙
氵魚	漁渔
氵門王	潤润
氵門木四	瀾澜
氵門日	澗涧
氵冖車	渾浑
⺍冖見	覚觉
氵弓長	漲涨
氵絲隹	濰潍
宀甘八貝	賽赛
宀甘八馬	騫骞
宀龍	寵宠
示卜貝	禎祯
之中一貝	遺遗
示見	視视
冖隹鳥	鶴鹤
宀夂口頁	額额
示馬	禡祃
衤广車	褲裤
馬丰石	騞𬴃
馬耳又乑	驟骤
馬其	騏骐
馬大丁口	騎骑
馬大	馱驮
馬匚乂	駆驱
馬圍大	駰骃
馬口乂	駛驶
馬非	騑𬴂
馬田木	騍骒
馬田絲	騾骡
馬且	駔驵
馬冂口	駉𬳶
馬四	駟驷
馬川	馴驯
馬隹	騅骓
馬鬼夂心	驄骢
馬乂乂	駁驳
馬勹口	駒驹
馬夂口	駱骆
馬氏刀田	騮骝
馬丶王	駐驻
馬辛	騂骍
