人	人入
絲西示	縹缥
絲雨而	繻𦈡
絲大丁口	綺绮
絲大日小	繚缭
絲犬㇕	紱绂
絲大厶	紘纮
絲戈大	絨绒
車絲絲口	轡辔
絲口口木	繰缲
絲之一㠯	繾缱
絲申	紳绅
絲日匕匕	緄绲
絲田心	緦缌
絲四口𧘇	繯缳
絲目小丿	緲缈
絲四灬土	纆𬙊
絲千二灬	纁𫄸
女爪大又	媛嫒
絲廴丿止	綖𫄧
女又馬	駑驽
絲𠂉乙	紇纥
絲之丿㠯	縋缒
絲亻㇕矢	緱缑
絲乂大巾	絺𫄨
絲八人口	綌绤
絲爪冖又	綬绶
絲勹牛山	綯绹
絲夂㐄	絳绛
絲匕匕	紕纰
絲衣口甘	纕𬙋
絲亠冂口	縞缟
絲亠口子	綧𬘯
絲衣日	縗缞
絲立日心	繶𫄷
絲亠冂厶	縭缡
絲亠八乂	絞绞
絲亠冖巾	締缔
絲䒑八皿	縊缢
絲䒑刂八	縑缣
絲半卩	綣绻
絲丷弓亻	綈绨
絲宀由八	縯𬙂
絲冖儿	紞𬘘
絲又又又	綴缀
絲巳七日	緡缗
絲廴丿士	綎𬘩
絲习人彡	繆缪
絲巛田	緇缁
絲凵山	絀绌
木刂⺮見	𬄦榄
絲口八	𥿗织
木馬	榪杩
口弓丨	吲𠰀
雨氵丿士	霪䨙
魚人二厶	𩷆鲙
口口一戈	戰𡃹
艹廿冖巾	蔕𦷾
艹魚禾大	𡚡𫰅
亻大一丂	侉𪝄
魚由	鮋鲉
絲三田田	繮缰
牛口	告吿
金尸目	鎇镅
艹丨米女	𡳶𬟗𬞰
日者	暑暏
氵宀皿丁	濘𬈿
厂車	厙厍
土川八見	𧹦䚂
日一寸	旴㝵
絲米女	𫃵缕
八刀又貝	𪬼𫎤
小冂口	尚尙
巴土八夂	𱜞𪩮
木門一艹	𣛣𬂻
扌宀皿丁	擰𢴕
氵廿冖巾	滯𣻉
羊大乚木	𫅠𬙾
匕匕	比𫧇
月門寸丿	𦟼𫆝
扌丸	执𢩾
山鬼	嵬㟴
口巾	吊𫩒
艮七儿木	槩㮣
𠂊小田土	𨤰𫒂
𠂉小田土	𨤰𫒂
口口一丂	咢㗁
鳥艹隹又	鸌鹱
金月穴工	𨭒𨭏
土尹口羊	𡑳𡑱
口艹夂口	𠺴𡀩
土厶衤甫	𠬖𠬕
木小口儿	𣘽𣗋
子瓜鳥	𪂮𪂲
扌魚日	擼撸
口門木四	㘓𪢌
艹四冖又	蘉𦴋
矢一䒑艮	𥐇𬑶
氵艹冖巾	滞𤀐
亻户小丿	𪝹𫣪
扌日	抇𢪏
木豕	椓㭬
四二丶㇕	黔𪑑
厶人一卜	𠀳𫠪
口禾彐心	𡅯𪢖
习习立申	𫅮𫅲
金口王	鋥锃
絲亠口小	綡𫟅
車卜尸	𨋤轳
人一一卜	𠁄𣍋
扌宀小貝	擯𢺔
小門寸丿	𡮣𡭬𡮥
車田夂口	𨎟𫏾
王艹心	𢚸𪫵
羊大日一	𦏄𫅝
艹人口刂	剳𦼃
木木工㇕	𬃂𬂽
王亠冖巾	𤧛𪼀
人水	汆氽
几二月刂	𩙌𬲂
山𠂉乙	屹𪨣
口耳戈	戢𠺵
扌日甘𧘇	𢺖𱠻
長彡丘八	鬓鬂
艹宀皿丁	薴𬞊
户廿八	𢩉𫼌
艹木口	莕𫇿
士冖殳心	慤愨
扌匕匕	批𢪲
王艹十又	𪔠𲎚
田木𠂊貝	𣡙𣡚
田木刀貝	𣡙𣡚
日卜尸	𣆐𬀭
口艹木四	囒𪢠
日豕者	𣌁𣌂
門月	閒𫔮
山兀	屼𡵉
日一丂	𣅙𣅘
金廿由八	鐄𨱑
扌业羊寸	𣝉𢷮
口艹口䒑	𠻼𡃻
𠂉木冂艹	𣘈𣜱𪳔
人一口貝	𡃋𫭕
食戈	𩚧饯
爪	爪𫜵
几二之艮	𫗂𫗁
四厶匕匕	罷𠤩
火日甘𧘇	𪹷𬋟
口一夕刂	咧𡂲
一木圍目	𬰠𩈘
亠刂八鳥	鵉鸾
日广卜口	𣈔𣈘
山日冂厶	嵎𡺥
艹虎一丂	𧃷𬞲
一夕丿皿	殈𬠼
禾厶卜貝	𥢅𥢆
長彡人人	鬗𩯮
月日甘𧘇	𣎦𦣙
土巳	圯𡉏
貝刂寸	𫴯𡬷
亠乂一八	𫥪𫥮
金廿八	鉷𫟹
氵魚日	瀂澛
䒑彐䒑业	𫡁𫡂
門小	𡮉𡭜𨳒
几二刂心	𫗄𫗃
門文工	𫔳𫔤
户氏	𬇋𣱆
足艹人人	蹒𨅼
尸毛田凵	𡳒𤳰
尸毛由凵	𡳒𤳰
𠂊用八夂	𧤁𧤸
尸丶者阝	𡳤𡳢
女厶四貝	𡤓𪦲
厶口亻弋	𠳙𫢼
亻木一見	𧡊𫌠
片心	𬌔𬌓
扌丿尸丶	𡱩𢭑
火火冖力	勞𤏪
人王冂艹	𠓹𠓻𫤍
魚卜尸	𫙔鲈
夕卜人土	𡎥𫮋
山亠口小	𡹞𡹡
口王	呈㕵
扌人人人	撿𪭮
亻八之艮	𠑉𫤈
火門亠巾	𤐛𬊢
門寸丿小	𫴼𡮤
一止冂口	𣦎𬆈
艹門木四	蘭𬞕
几言十	𧦔𪞴
人人夕卜	𡎢𡎦
口土卩又	𠼶𠾷
口口耳攵	嚴㘙
風之艮	𩘬𩘩
門一艹	開𫔭
土川者見	𬦄𧺃
金魚日	鑥镥
金尸㇆口	鋦锔
户习㇕大	𦑗𬚇
矢一口䒑	短𥐍
丿皿丿卩	𧖰𧖱
木艹木四	欗𬅉
日行人禾	𣉹𬁊
日犭者	𬁑𪱂
口皿	𠰘𠱄
木口欠	欶𣒱
小門心	𡮮𡮬
匚㇕𠂊貝	𢀲𱜝
匚㇕刀貝	𢀲𱜝
卜口刀	𠛤𪟂
刀鳥	鳭𠟀
犭宀皿丁	獰𤡛
田土火火	𨤮𨤵
木艹⺮皿	𣞎𣠩
日十十月	𣋂𣊿
氵口貝	溳涢
人一几二	𫖾𬲇
一巾	巿帀
日牛巾刂	𪰮㫼
木十日一	𬃱𬄮
氵風	渢沨
風	風风
山風	嵐岚
立風	颯飒
月儿氵	朓脁
亻一人人	倆俩
車一人人	輛辆
日	日曰
户	戸戶户
士冖亞	壺壸壼
穴夫見	窺窥
扌夫夫車	攆撵
金夫	鈇𫓧
亞	亜亞亚
亞心	悪惡恶
口亞	唖啞哑
艹咼	萵莴
虫咼	蝸蜗
金咼	鍋锅
氵咼	渦涡
示咼	禍祸
女咼	媧娲
土咼	堝埚
咼	咼呙
穴咼	窩窝
申	申电
⺮衣日	簑簔
衣亻口木	褒襃
金口口	鋁铝
口口口	品𠴊
口口巴	唈𫶷
亞土	堊垩
女亞	娅婭
示一口田	福福
示申	神神
示羊	祥祥
木亞	椏桠
口亞心	噁𫫇
气亞	氬氩
一夕非一	殲殱
亻㇕圍目	偭𫖄
