一	横
丨	竖
丿	撇
丶	捺
㇕	折
㇆	弯
乚	拐
一一	横横
一丨	横竖
一丿	横撇
一丶	横捺
一㇕	横折
一㇆	横弯
一乚	横拐
丨一	竖横
丨丨	竖竖
丨丿	竖撇
丨丶	竖捺
丨㇕	竖折
丨㇆	竖弯
丨乚	竖拐
丿一	撇横
丿丨	撇竖
丿丿	撇撇
丿丶	撇捺
丿㇕	撇折
丿㇆	撇弯
丿乚	撇拐
丶一	捺横
丶丨	捺竖
丶丿	捺撇
丶丶	捺捺
丶㇕	捺折
丶㇆	捺弯
丶乚	捺拐
㇕一	折横
㇕丨	折竖
㇕丿	折撇
㇕丶	折捺
㇕㇕	折折
㇕㇆	折弯
㇕乚	折拐
㇆一	弯横
㇆丨	弯竖
㇆丿	弯撇
㇆丶	弯捺
㇆㇕	弯折
㇆㇆	弯弯
㇆乚	弯拐
乚一	拐横
乚丨	拐竖
乚丿	拐撇
乚丶	拐捺
乚㇕	拐折
乚㇆	拐弯
乚乚	拐拐
