{^~|\n^}	{,a}
{^ ^}	{a}
{^^}	一艹能
，	空丿
：	口口能
；	口丿能
、	空丶
。	空口
・	空丨
⋯⋯	小目能
——	一一能
！	丨口能
？	門口能
（	乚能
）	空乚
「	㇕能
」	空㇕
