的	白勹丶
論	言人冂艹
流	氵亠厶川
招	扌刀口
痛	疒又用
列	一夕刂
石	石
香	禾日
封	土土寸
眼	目艮
易	日勹彡
冷	冫人之
借	亻廿日
派	氵斤氏
帥	丿㠯巾
付	亻寸
十	十
陽	阝日勹彡
樹	木士䒑寸
油	氵由
胡	十口月
排	扌非
停	亻亠冖丁
合	人一口
軍	冖車
身	身
奧	自丿釆大
章	立日十
科	禾冫十
星	日生
翻	釆田习习
場	土日勹彡
帖	巾卜口
商	亠丷八口
庫	广車
價	亻西貝
物	牛勹彡
泡	氵勹己
玉	王丶
追	之丿㠯
傷	亻𠂉勹彡
背	丬匕月
劍	人一人刂
解	𠂊用刀牛
室	宀至
底	广氏一
業	业丷三小
代	亻弋
孫	子丿絲
朱	𠂉木
亦	亠川八
須	彡頁
乾	十日𠂉乙
工	工
詞	言㇆一口
刀	刀
波	氵皮
推	扌隹
落	艹氵夂口
節	⺮艮卩
春	春
九	九
輸	車人月刂
江	氵工
短	矢一口䒑
含	人丶㇕口
千	千
徐	行人禾
秒	禾小丿
青	丰月
夜	亠亻夂丶
許	言𠂉十
吹	口欠
師	丿㠯一巾
板	木斤又
土	土
直	十目乚
公	八厶
苦	艹十口
秀	禾㇆丿
博	十甫寸
皮	皮
朝	十日十月
君	尹口
詩	言土寸
靜	丰月爪尹
利	禾刂
素	丰絲
立	立
存	大丨子
燒	火土土兀
吾	工㇕口
湯	氵日勹彡
民	巳七
極	木了又一
命	人一口卩
忘	亡心
茶	艹人木
供	亻廿八
案	宀女木
田	田
初	衤刀
品	口口口
抽	扌由
造	之牛口
抱	扌勹己
野	田土㇕丨
綠	絲彑水
項	工頁
緊	臣又絲
故	十口攵
服	月卩又
盡	尹一灬皿
百	一白
兵	丘八
英	艹冂大
蘇	艹魚禾
般	舟殳
演	氵宀由八
果	田木
保	亻口木
唐	广尹口
夏	一自夂
莫	艹日大
硬	石一日乂
寒	宀甘八冫
凡	凡
髮	長彡犬丿
言	言
題	日一止頁
防	阝方
街	行土土
距	足匚㇕
挑	扌儿氵
純	絲七凵
欲	八人口欠
源	氵厂白小
官	宀㠯
戲	虎一䒑戈
寄	宀大丁口
古	十口
首	䒑自
思	田心
橋	木丿冂口
燈	火癶口䒑
郭	亠口子阝
亮	亠口冖几
干	一十
窮	穴身弓
粉	米八刀
爆	火日八水
韓	十日口㐄
戴	十戈廿八
然	夕犬灬
衝	行千日二
雷	雨田
蓋	艹土厶皿
港	氵廿八己
租	禾且
狼	犭丶艮
蘭	艹門木日
狂	犭王
布	大巾
引	弓丨
亞	亞
齊	亠丷氏川
隻	隹又
員	口貝
佛	亻弓川
食	食
船	舟几口
今	人丶㇕
恨	忄艮
宋	宀木
銀	金艮
猛	犭子皿
客	宀夂口
友	大又
領	人之頁
句	勹口
斯	其斤
沙	氵小丿
戰	口口一戈
望	亡月王
沖	氵中
丁	丁
園	圍土口𧘇
祝	示口儿
鄭	丷酉大阝
界	田八川
抗	扌亠几
步	止小
河	氵丁口
賊	貝戈大
尚	小冂口
似	亻厶人
羊	羊
福	示一口田
必	心丿
遭	之艹日日
煙	火西土
否	不口
端	立山而
設	言殳
伊	亻尹
秦	春禾
秋	禾火
毒	丰母
架	力口木
熊	厶月匕灬
持	扌土寸
廣	广廿由八
折	扌斤
意	立日心
基	其土
困	圍木
圈	圍半卩
迷	之米
勝	月半力
史	口乂
甲	甲
搬	扌舟殳
獲	犭艹隹又
紙	絲氏
乃	㇆丿
右	大口
塔	土艹一口
準	氵隹十
院	阝宀一兀
訂	言丁
散	廿月攵
松	木人厶
喜	士口䒑口
洋	氵羊
語	言工㇕口
呈	口王
治	氵厶口
降	阝夂㐄
峯	山夂丰
漢	氵廿口夫
富	宀一口田
姓	女生
料	米冫十
結	絲士口
閃	門人
梅	木𠂉母
批	扌匕匕
足	足
寧	宀心皿丁
醒	酉日生
精	米丰月
瘦	疒臼丨又
槍	木人户口
軟	車欠
支	十又
杜	木土
麗	一冂丶鹿
展	尸艹展
興	臼冂口八
依	亻衣
倍	亻立口
康	广尹氵
堂	小冖口土
救	寸氵丶攵
鍵	金廴尹二
製	牛巾刂衣
筆	⺮尹二
音	立日
世	廿乚
著	艹者
仲	亻中
舞	𠂉廿夕㐄
守	宀寸
露	雨足夂口
冒	日目
昇	日丿艹
唄	口貝
榮	火火冖木
弱	弓冫弓冫
影	日亠小彡
州	⺍川
替	夫夫日
陸	阝土八土
曲	日刂
願	厂白小頁
牙	牙
箱	⺮木目
嚇	口土川八
測	氵貝刂
莊	艹爿士
寬	宀艹見丶
遍	之户冂艹
細	絲田
狀	爿犬
巴	巴
武	一弋止
湖	氵十口月
程	禾口王
柳	木氏丿卩
偏	亻户冂艹
實	宀母貝
印	亻二卩
味	口二小
鎖	金小貝
衆	丿皿乑
零	雨人之
環	王四口𧘇
角	𠂊用
紫	止匕絲
島	鳥山
耶	耳阝
熟	亠口丸灬
孔	子乚
寸	寸
標	木西示
厚	厂日子
答	⺮人一口
社	示土
顧	户隹頁
順	川頁
滅	氵戊一火
運	之冖車
輪	車人冂艹
兼	䒑彐刂八
溫	氵圍人皿
娘	女丶艮
登	癶一口䒑
微	行山几攵
佳	亻土土
瞭	目人日小
雅	牙隹
魔	广木木鬼
司	㇆一口
志	士心
奇	大丁口
編	絲户冂艹
瓦	瓦
居	尸十口
盛	戊㇆皿
虎	虎
后	斤一口
洞	氵冂一口
台	厶口
形	一艹彡
負	𠂊貝
川	川
圓	圍口貝
充	亠厶儿
害	宀丰口
免	𠂊口儿
景	日亠口小
擬	扌匕㇕止
曹	艹日日
曉	日土土兀
煮	者灬
良	丶艮
吐	口土
肥	月巴
仙	亻山
宮	宀口丿口
酸	酉厶八夂
侯	亻㇕矢
塞	宀甘八土
勁	一巛工力
欠	欠
創	人户口刂
擦	扌宀夗示
爾	一八乂乂
藏	艹戈爿臣
皆	匕匕白
永	丶水
夫	夫
琴	王王丶㇕
錄	金彑水
宏	宀大厶
例	亻一夕刂
專	車寸
視	示見
兄	口儿
善	羊䒑口
增	土丷四日
施	方𠂉也
淚	氵户犬
暗	日立日
忍	刀丶心
肯	止月
母	母
聖	耳口王
橫	木廿由八
遊	之方𠂉子
致	至攵
宗	宀示
偉	亻韋口㐄
麻	广木木
怒	女又心
爭	爪尹
腰	月西女
肖	小月
淨	氵爪尹
罪	四非
仔	亻子
彈	弓口甲一
丑	彐丨
減	氵戊一口
敏	𠂉母攵
義	羊手戈
棒	木春工
臭	自大
響	乡艮阝立日
聞	門耳
計	言十
校	木亠八乂
氏	氏
糖	米广尹口
吉	士口
押	扌甲
谷	八人口
衣	衣
宇	宀一寸
雜	亠人木隹
末	一木
告	牛口
耐	而寸
董	艹千日二
醉	酉亠人十
妹	女二小
鋼	金冂䒑山
蔣	艹爿寸
幣	水冂攵巾
宜	宀且
尼	尸匕
灰	大火
評	言一丷十
維	絲隹
屋	尸至
幾	幺幺戈人
楚	木木㇕止
館	食宀㠯
丹	周亠
乘	禾丬匕
認	言刀丶心
刻	亠乡人刂
俊	亻厶八夂
芳	艹方
抄	扌小丿
酷	酉牛口
京	亠口小
嚴	口口厂丁耳攵
返	之斤又
廳	广耳一心
魯	魚日
瑞	王山而
仁	亻二
註	言丶王
添	氵一大忄
催	亻山隹
具	目一八
威	戊一女
劇	虎豕刂
核	木亠乡人
農	日刂辰
瓶	䒑艹瓦
銅	金冂一口
犯	犭卩
族	方𠂉矢
季	禾子
尋	彐工口寸
顯	日幺灬頁
骨	骨
黎	禾勹人水
騎	馬大丁口
密	宀心丿山
士	士
術	行木丶
祇	示氏
洪	氵廿八
訊	言乙十
禮	示日口䒑
容	穴人口
輝	小兀冖車
射	身寸
智	矢口日
索	十冖絲
燕	廿口匕灬
撞	扌立田土
膜	月艹日大
普	䒑业日
竹	⺮
側	亻貝刂
諾	言艹大口
呂	口丿口
搭	扌艹一口
鳳	几一鳥
陰	阝人二厶
薄	艹氵甫寸
涼	氵亠口小
胃	田月
賴	木口刀貝
堆	土隹
赴	走卜
載	十戈車
孟	子皿
抵	扌氏一
彩	爪木彡
甚	其乚
厄	厂卩
粗	米且
傑	亻夕㐄木
慶	鹿㇕心夂
緣	絲彑豕
駐	馬丶王
申	申
衛	行韋口㐄
訓	言川
念	人丶㇕心
惹	艹大口心
帳	巾長
逃	之儿氵
嘉	士口力口
納	絲冂人
升	丿艹
倉	人户口
休	亻木
症	疒一止
斤	斤
功	工力
浪	氵丶艮
泰	春水
忠	中心
梁	氵刀八木
吸	口㇆人
貝	貝
跨	足大一丂
森	木木木
卷	半卩
井	二川
針	金十
蛇	虫宀匕
寺	土寸
購	貝甘冂土
導	之䒑自寸
飲	食欠
噴	口十十貝
虛	虎业
優	亻一心夂
埋	土田土
略	田夂口
掃	扌彐冖巾
目	目
蒙	艹冖一豕
託	言丿七
托	扌丿七
巧	工丂
淡	氵火火
拜	手一丰
冬	夂冫
