仓	人巳
伧	亻人巳
你	亻𠂊小
倦	亻半巳
僧	亻丷四日
具	且八
创	人巳刂
包	勹巳
卮	斤一巳
危	𠂊厂巳
卷	半巳
厄	厂巳
呃	口厂巳
唳	口户犬
圈	圍半巳
填	土十且八
墨	四二灬土
妳	女𠂊小
将	丬夕寸
尔	𠂊小
巷	廿八巳
巽	巳巳廿八
弥	弓𠂊小
怆	忄人巳
您	亻𠂊小心
慎	忄十且八
憎	忄丷四日
扼	扌厂巳
抢	扌人巳
抱	扌勹巳
捩	扌户犬
撰	扌巳廿八
枪	木人巳
栀	扌斤一巳
桅	木𠂊厂巳
植	木十且
殖	一夕十且
沧	氵人巳
泡	氵勹巳
港	氵廿八巳
滇	氵十且八
犯	犭巳
玺	𠂊小王丶
瑶	王爪牛山
画	一田凵
疮	疒人巳
直	十且
真	十且八
矗	十且十且
称	禾𠂊小
突	穴犬
置	四十且
胞	月勹巳
脆	月𠂊厂巳
臭	自犬
舱	舟人巳
苍	艹人巳
范	艹氵巳
莽	艹犬艹
蒋	艹丬夕寸
虞	虎口一大
蜈	虫口一大
蟒	虫艹犬艹
诡	言𠂊厂巳
起	走己
跪	足𠂊厂巳
轭	車厂巳
迩	之𠂊小
遥	之爪牛山
顾	厂巳頁
