倦	亻半己
僧	亻丷田日
具	目一八
包	勹己
危	𠂊厂巳
卷	半巳
厄	厂巳
圈	圍半巳
埴	土十目乚
墨	甲二灬土
将	丬爪寸
層	尸丷田日
巷	廿八巳
巽	己己廿八
弥	弓𠂉小
慎	忄十一八
憎	忄丷田日
抱	扌勹己
捲	扌半巳
撰	扌己廿八
植	木十目乚
槙	木十一八
欄	木門木日
殖	一夕目乚
氾	氵巳
泡	氵勹己
港	氵廿八己
瀨	氵木刀貝
煉	火木日
犯	犭巳
瑶	王爪十凵
画	一由凵
直	十目乚
真	十目一八
祢	礻𠂉小
称	禾𠂉小
突	穴大
範	⺮車巳
練	絲木日
置	四十目乚
胞	月勹己
臭	自大
蘭	艹門木日
虞	虎口一八
誤	言口一八
謡	言爪十凵
賴	木口刀貝
贈	貝丷田日
起	走己
遥	之爪十凵
遷	之西大己
選	之己廿八
鎮	金十一八
類	米大頁
飽	食勹己
