=undo	空能
{#up}	上能
{#left}	大工能
{#right}	大口能
{#down}	一卜能
{#pageup}	頁上能
{#home}	冫大能
{#home}	一頁能
{#end}	尸毛能
{#pagedown}	頁卜能
{#control(up)}	上殳能
{#control(left)}	工殳能
{#control(right)}	口殳能
{#control(down)}	卜殳能
{#shift(up)}	之上能
{#shift(left)}	之工能
{#shift(right)}	之口能
{#shift(down)}	之卜能
{#alt(up)}	頁上能
{#alt(left)}	頁工能
{#alt(right)}	頁口能
{#alt(down)}	頁卜能
{#alt(shift(up))}	殳上能
{#alt(shift(left))}	殳工能
{#alt(shift(right))}	殳口能
{#alt(shift(down))}	殳卜能
