# 丷・八
# 八・人
# 兑・兌
# 乚・乙
# 良・艮・皀
# 月・円
# 礻・示
# 𠂊・刀
# 丶・一
# 阝・卩

# 柬・東
𦼜	艹走𠂉小
𨤧	甲二𠂉小
𠦿	禾𠂉小丿艹
趂	走𠂉小
𫒂	𠂉小甲二
𫵇	尸目𠂉小
𥅘	目𠂉小
𢺔	扌宀王𠂉小貝
𠺰	口禾𠂉小
𠰚	口𠂉小
𢘝	忄𠂉小
𨃾	禾𠂉小足
𡮠	𠂉小尸目
𪮭	扌走𠂉小
𫐪	之力𠂉小
𪡇	口亻𠂉小
䟢	足𠂉小
𥙧	礻乚𠂉小

# 𠂊丨・𠂉丨
𬎽	用𠂉丨
𬪽	千日二𠂉丨
𫎑	貝𠂉丨
𪝪	亻㇕卜㇕又𠂉丨
𬨻	之木口𠂉丨
𪥾	女石𠂉丨
𫢖	亻㇆丿𠂉丨
𪸄	氵臣⺮皿𠂉丨
𬞮	艹之車𠂉丨
𫎚	四貝𠂉丨
𬢞	言𠂉丨
𬂆	丶艮月𠂉丨
𫕸	丰月𠂉丨
𬌣	牛土寸𠂉丨
𪰰	日土寸𠂉丨
𪲣	甘木𠂉丨
𫁞	立𠂉丨
𪯊	凵攵𠂉丨
𬕺	⺮立日乚𠂉丨
𪫶	人丶㇕心𠂉丨
𪮯	扌口耳𠂉丨
𪝱	亻山隹𠂉丨
𬕳	⺮馬𠂉丨
𫋶	衤刀𠂉丨
𪰇	日𠂉丨
𩵜	魚𠂉丨
𬪄	刀二阝𠂉丨
𫶜	山亠口冂口𠂉丨
𬋱	爪丿㇕㇕㇆灬𠂉丨
𬋫	爪一大又𠂉丨
𬐸	虎田皿𠂉丨
𪶏	氵土厶𠂉丨
𫴬	文寸𠂉丨
𬂨	木寸𠂉丨
𪡉	口鬼𠂉丨
𬬃	金白巾𠂉丨
𪩬	巴𠂉丨
𪬫	立日心𠂉丨
𪣱	土立𠂉丨
𫡔	𠂉丨一卜乚
𫧣	十冂半𠂉丨
𬋆	火木四𠂉丨
𬎻	文厂生𠂉丨
𪫓	行彐二𠂉丨
𪿸	石石石𠂉丨
𬆒	一夕刂𠂉丨
𪱕	日耳又𠂉丨
𪟳	𠂉十𠂉丨
𪠉	厂止𠂉丨
𬑅	目𠂉丨
𪥯	𠂉丨女又
𫆡	亠厶月𠂉丨
𪞀	小尤𠂉丨
𫉼	艹四戊丶𠂉丨
𪾆	皮𠂉丨
𪡍	文口𠂉丨
𬓗	礻彐水𠂉丨
𬖩	米夕㐄𠂉丨
𪤸	夕卜𠂉丨
𫡐	㇆丿𠂉丨
𫧦	亠幺氵十𠂉丨
𪤲	士尸𠂉丨

# 大・犬
器	口口大口口
類	米大頁
臭	自大
突	穴大
莽	艹大艹
蟒	虫艹大艹
唳	口户大
捩	扌户大
綟	絲户大

# 賴（𠂊・刀）
懶	忄木口刀貝
賴	木口刀貝
瀨	氵木口刀貝
癩	疒木口刀貝
籟	⺮木口刀貝
獺	犭木口刀貝
嬾	女木口刀貝
藾	艹木口刀貝
𱜝	匚㇕忄木口刀貝
𣡙	日木木口刀貝
𡚚	大木口刀貝
𬟣	艹氵木口刀貝
𣡚	日木木口刀貝
𬯩	阝丁口木口刀貝
𢁑	巴木口刀貝
𢀲	匚㇕木口刀貝

# 晋・晉
縉	絲二厶厶日
瑨	王二厶厶日
搢	扌二厶厶日
溍	氵二厶厶日
鄑	二厶厶日阝

# 氐（氏丶・氏一）
低	亻氏一
底	广氏一
抵	扌氏一
牴	牛氏一
邸	氏一阝
祗	礻氏一
骶	骨氏一
氐	氏一
砥	石氏一
胝	月氏一
羝	羊氏一
鴟	氏一鳥
詆	言氏一
柢	木氏一
坻	土氏一
厎	厂氏一
袛	衤氏一
秪	禾氏一
菧	艹广氏一
茋	艹氏一
蚳	虫氏一
軧	車氏一
岻	山氏一
泜	氵氏一
阺	阝氏一
弤	弓氏一
貾	貝氏一
觝	𠂊用氏一
𥓵	石广氏一
𬺙	立日乚亻氏一
𢋠	亠丷冖巾广氏一
𧍉	虫广氏一
𡌠	土亻氏一
𦝉	月广氏一
𬇉	氏一刀
𤯰	生广氏一
𤯿	广氏一立丿生
𪂰	鳥广氏一
𫢵	亻氏一一卜
𦰣	艹亻氏一
𣷳	氵广氏一
𡞖	女广氏一
𪽅	广氏一生
𢋴	廿儿冖巾广氏一
掋	扌广氏一
㭽	木广氏一
𦨢	舟氏一
𦅴	尸毛絲氏一
𠴓	口亻氏一

# 氏一・亻二
印	亻二卩
茚	艹亻二卩
襃	亠亻二口木𧘇
褎	亠亻二禾𧘇
𬏥	疒亻二卩

# 界（八・人）
界	田人川
堺	土田人川
𤲂	田人川一卜
𪽐	丿田人川
𤋽	火田人川
𫈨	艹田人川

# 犮（又・乂）
髮	長彡大乂丶
拔	扌大乂丶
跋	足大乂丶
魃	鬼大乂丶
鈸	金大乂丶
紱	絲大乂丶
菝	艹扌大乂丶
祓	礻大乂丶
黻	业水冂大乂丶
茇	艹大乂丶
犮	大乂丶
沷	氵大乂丶
妭	女大乂丶
秡	禾大乂丶
袚	衤大乂丶
軷	車大乂丶
